YEAR	DAY	HOUR	MINUTE	SECOND	CDP	SOU_X	SOU_Y
2020	285	11	54	23	514	596510.51342	10645543.35876
2020	285	11	54	25	515	596514.55304	10645546.06546
2020	285	11	54	27	517	596518.57220	10645548.78113
2020	285	11	54	29	518	596522.63229	10645551.48981
2020	285	11	54	31	520	596526.68433	10645554.21714
2020	285	11	54	33	521	596530.72560	10645556.91660
2020	285	11	54	35	523	596534.73980	10645559.63772
2020	285	11	54	37	525	596538.80344	10645562.34160
2020	285	11	54	39	526	596542.85234	10645565.08259
2020	285	11	54	41	528	596546.89325	10645567.82359
2020	285	11	54	43	529	596550.93862	10645570.55583
2020	285	11	54	45	531	596555.00406	10645573.30627
2020	285	11	54	47	532	596559.08737	10645576.04731
2020	285	11	54	49	534	596563.11733	10645578.81353
2020	285	11	54	51	536	596567.17160	10645581.55634
2020	285	11	54	53	537	596571.23230	10645584.27675
2020	285	11	54	55	539	596575.29612	10645587.04325
2020	285	11	54	57	540	596579.30858	10645589.80435
2020	285	11	54	59	542	596583.31187	10645592.57666
2020	285	11	55	1	543	596587.35754	10645595.34294
2020	285	11	55	3	545	596591.36590	10645598.18502
2020	285	11	55	5	546	596595.37343	10645601.00364
2020	285	11	55	7	548	596599.35239	10645603.84313
2020	285	11	55	9	550	596603.39457	10645606.63893
2020	285	11	55	11	551	596607.42390	10645609.47034
2020	285	11	55	13	553	596611.45762	10645612.28095
2020	285	11	55	15	554	596615.49531	10645615.02611
2020	285	11	55	17	556	596619.52945	10645617.77778
2020	285	11	55	19	557	596623.57143	10645620.48084
2020	285	11	55	21	559	596627.59445	10645623.23212
2020	285	11	55	23	561	596631.59156	10645625.91523
2020	285	11	55	25	562	596635.56649	10645628.61213
2020	285	11	55	27	564	596639.55226	10645631.32475
2020	285	11	55	29	565	596643.55361	10645634.03166
2020	285	11	55	31	567	596647.52993	10645636.75857
2020	285	11	55	33	568	596651.50018	10645639.44285
2020	285	11	55	35	570	596655.51722	10645642.11910
2020	285	11	55	37	571	596659.54789	10645644.82848
2020	285	11	55	39	573	596663.59137	10645647.49619
2020	285	11	55	41	574	596667.61956	10645650.15133
2020	285	11	55	43	576	596671.67712	10645652.78430
2020	285	11	55	45	578	596675.74567	10645655.44846
2020	285	11	55	47	579	596679.83324	10645658.10790
2020	285	11	55	49	581	596683.86621	10645660.74631
2020	285	11	55	51	582	596687.90834	10645663.39613
2020	285	11	55	53	584	596691.96128	10645666.06340
2020	285	11	55	55	585	596696.02373	10645668.76635
2020	285	11	55	57	587	596700.06176	10645671.42637
2020	285	11	55	59	588	596704.05664	10645674.12207
2020	285	11	56	1	590	596708.11495	10645676.81936
2020	285	11	56	3	592	596712.14083	10645679.56430
2020	285	11	56	5	593	596716.15827	10645682.30535
2020	285	11	56	7	595	596720.13405	10645685.05991
2020	285	11	56	9	596	596724.15635	10645687.82141
2020	285	11	56	11	598	596728.17612	10645690.61761
2020	285	11	56	13	599	596732.15778	10645693.43041
2020	285	11	56	15	601	596736.16932	10645696.18991
2020	285	11	56	17	602	596740.18729	10645698.94772
2020	285	11	56	19	604	596744.23899	10645701.71946
2020	285	11	56	21	606	596748.27535	10645704.48692
2020	285	11	56	23	607	596752.30359	10645707.23535
